Species,Toes,Sex,SVL,TL,RTL,Date,Mass,Paint Mark,Location,Meters
Sj,8-20,m,57.0,30.0,0.0,9/10/2018,6.4,w67c,R at entrance,-30.0
Sj,10-13,m,87.0,43.0,10.0,8/16/2018,19.0,w6c,on T at bottom of site,-30.0
Sj,10-12-20,f,79.0,105.0,0.0,8/18/2018,13.5,w38c,T rt sb at trail entrance,-27.0
Sj,10-11,m,49.0,71.0,-1.0,8/15/2018,3.3,w1c,T right sb above bottom site entrance,-25.0
Sj,5-10-18,f,70.0,78.0,-1.0,8/16/2018,12.5,w8c.t,2m up T 15m v  left side bottom bowl (at -20),-20.0
Sj,10-15,m,50.0,70.0,0.0,8/16/2018,4.2,w7c,on T at bottom of site,-20.0
Sj,8-20,m,54.0,75.0,0.0,8/18/2018,5.1,w39c,on big R at entrance,-20.0
Sj,5-12,f,51.0,70.0,0.0,8/22/2018,4.0,w47c,sb 1m ^ tilted T,-20.0
Sj,10-16,f,44.0,63.0,0.0,8/16/2018,2.4,w9c,Rs in sb 15m v left side bottom bowl,-17.0
Sj,10-18,f,70.0,76.0,-1.0,8/26/2018,11.7,w50c..t,[somewhere below 1falls and entrance],-15.0
Sj,10-11,f,72.0,92.0,0.0,8/26/2018,13.3,w49c,sb 3m v bowl on rt,-11.0
Sj,10-19,m,43.0,60.0,0.0,8/16/2018,2.2,w12c,1 falls 1m up,0.0
Sj,6-12,m,86.0,121.0,0.0,8/30/2018,19.7,w54c,3m to rt at top 1falls,0.0
Sj,9-14-15,f,77.0,70.0,-1.0,8/21/2018,12.0,w43c,6m to right at top 1falls,0.0
Sj,10-19,m,46.0,66.0,0.0,8/30/2018,2.8,w12c,bottom 1falls,0.0
Sj,10-12-19,m,82.0,86.0,-1.0,8/16/2018,16.5,w11c,rt side of falls top bowl 3m up,0.0
Sj,10-18,f,39.0,51.0,0.0,8/16/2018,2.0,10c.t,1m above 1 falls,1.0
Sj,12-19,f,70.0,99.0,0.0,8/26/2018,11.7,w48c..t,sb 2m ^ 1falls,2.0
Sj,10-15-18,f,42.0,53.0,0.0,8/21/2018,1.9,w10.t,sb 3m ^ falls,3.0
Sj,9-14-15,f,77.0,70.0,39.0,8/15/2018,13.5,w5c.t,5m ^ 1 Falls,5.0
Sj,7-18,f,51.0,73.0,9.0,8/26/2018,4.0,w46c,left sb 10m ^ 1falls,10.0
Sj,8-19,f,47.0,64.0,0.0,8/18/2018,3.2,w37c,sb at 15,15.0
Sj,8-19,f,48.0,65.0,0.0,8/21/2018,2.9,w37c,"sb at btwn top rt wall, bottom left bowl above 1 falls ",25.0
Sj,9-10-12-17-20,f,74.0,103.0,0.0,8/18/2018,10.2,w36c,sb bottom left bowl ^ 1falls,25.0
Sj,6-18,f,50.0,75.0,0.0,9/1/2018,4.3,w58c,sb bottom rt bowl v cave trail,35.0
Sj,6-11,f,75.0,102.0,0.0,8/28/2018,12.5,w53|t,upper bowl on right 4m v cave trail,46.0
Sj,9-10,m,54.0,57.0,20.0,8/15/2018,4.5,w2c,opp wall v wall v juniper crossing,80.0
Sj,8-11,m,56.0,82.0,0.0,8/18/2018,6.1,w29c,T left sb opp wvwvwjx,85.0
Sj,7-19,f,77.0,108.0,0.0,8/26/2018,15.0,w47c,bottom wvwvjx,85.0
Sj,8-11,m,62.0,89.0,0.0,9/9/2018,7.4,w29c,bottom wvwvwvjx,85.0
Sj,1,m,88.0,88.0,36.0,8/15/2018,20.5,w4c,on wall vwvjx just below fox den,103.0
Sj,8-18,m,75.0,67.0,-1.0,8/18/2018,13.3,w35c,on wall vwvjx just below fox den,103.0
Sj,1,m,87.0,88.0,-1.0,8/18/2018,19.5,w4c,on wall vwvjx just below fox den,103.0
Sj,7-15,m,57.0,77.0,0.0,9/10/2018,5.4,w44c,sb at fox den,103.0
Sj,7-15,m,53.0,72.0,0.0,8/25/2018,4.4,w44c,sb rt side 2m ^ foxden,105.0
Sj,7-11,m,60.0,85.0,0.0,8/21/2018,6.2,w40c,sb 3m v lizardR,132.0
Sj,5-11,m,75.0,105.0,0.0,9/7/2018,15.0,w62c,left wall at lizardR,135.0
Sj,4-13,f,78.0,103.0,0.0,9/15/2018,14.5,w72c,4m ^ lizardR,139.0
Sj,10-12,m,50.0,64.0,-1.0,8/15/2018,3.5,3c,mid R island,150.0
Sj,7-11,m,63.0,90.0,0.0,9/10/2018,6.6,w40c,sb 2m v top island,156.0
Sj,10-12,m,51.0,66.0,0.0,8/18/2018,3.9,w3c,sb top island,158.0
Sj,9-16,m,55.0,79.0,-1.0,8/17/2018,5.3,w22c,root xing,160.0
Sj,9-16,m,62.0,69.0,-1.0,9/10/2018,7.5,w22c,sb 5m ^ rt xing,165.0
Sj,10-20,m,80.0,111.0,0.0,8/16/2018,17.5,w13c.t,H3,180.0
Sj,10-20,m,79.0,111.0,0.0,8/21/2018,16.3,w13c.t,"6m v H6, 5m up wall above sb",202.0
Sj,6-18,f,52.0,36.0,-1.0,9/4/2018,4.2,w53c,R sb 2m v pancakeR,210.0
Sj,1-6-18,f,53.0,40.0,-1.0,9/15/2018,4.1,w69cut,left sb at pancakeR,212.0
Sj,6-15,f,77.0,101.0,0.0,8/31/2018,14.3,w56c,pancakeR,212.0
Sj,5-11,m,60.0,64.0,-1.0,9/12/2018,6.8,w68c,pancakeR,212.0
Sj,6-13,f,55.0,77.0,0.0,8/31/2018,4.6,w55c,sb at downed juniper,220.0
Sj,5-11,m,56.0,60.0,-1.0,8/22/2018,5.6,w46c,[btwn H3 and slab],225.0
Sj,9-11,f,53.0,74.0,0.0,8/16/2018,2.8,w14c,CC/CCC,245.0
Sj,9-11,f,58.0,80.0,0.0,9/6/2018,5.7,w14c,Rs bottom CCC,245.0
Sj,7-12,m,47.0,48.0,-1.0,8/21/2018,2.8,w41c,sb 1m v T v slab v slab,258.0
Sj,5-6-11,,50.0,41.0,-1.0,9/15/2018,3-9,w62c,R left sb at slab,263.0
Sj,9-20,m,49.0,24.0,-1.0,8/17/2018,3.2,w28c.t,left sb at slab,263.0
Sj,5-7-14,f,81.0,73.0,-1.0,8/16/2018,15.3,w15c,slab,263.0
Sj,10-11-20,f,80.0,75.0,-1.0,9/6/2018,16.7,w59c,slab,263.0
Sj,6-19,m,82.0,124.0,0.0,9/6/2018,19.7,w60c,slab,263.0
Sj,15-17,f,73.0,95.0,0.0,8/17/2018,11.7,w27c.t,log 1m ^ slab,264.0
Sj,5-11,f,49.0,40.0,-1.0,9/8/2018,3.7,w62c,R sb 5m ^ slab,268.0
Sj,8-16,m,51.0,38.0,-1.0,8/18/2018,4.0,w34c,slab on left v bottom s-curve,272.0
Sj,9-12,f,50.0,44.0,-1.0,8/16/2018,3.9,w16c,Top S-curve,285.0
Sj,4-15,m,88.0,113.0,0.0,9/16/2018,23.7,w73c,Rs sb 3m ^ top s-curve,288.0
Sj,9-12,f,56.0,60.0,-1.0,9/16/2018,4.8,w16c,sb 6m v 1tripleR,298.0
Sj,10-15-18,f,75.0,109.0,0.0,8/16/2018,13.5,w17c,1 triple rock,304.0
Sj,14-20,m,78.0,60.0,-1.0,8/17/2018,13.0,w23c,sb at tripleR,304.0
Sj,6-16,f,51.0,47.0,-1.0,9/1/2018,4.8,w57c,sb 3m v talus,320.0
Sj,5-12,m,81.0,77.0,-1.0,9/8/2018,17.3,w63c,talus,325.0
Sj,8-12,m,52.0,70.0,0.0,8/18/2018,5.0,w30c,sb at 2tripleR,340.0
Sj,6-20,f,57.0,78.0,0.0,9/6/2018,5.9,w61c,sb 2m ^ 2tripleR,342.0
Sj,7-13,m,54.0,72.0,0.0,8/21/2018,5.3,w42c.t,3m v bottom chute,355.0
Sj,10-15-19,m,82.0,110.0,0.0,8/18/2018,19.3,w31c,Rs in bottom left chute,358.0
Sj,10-12-15-16,f,78.0,103.0,0.0,8/27/2018,14.3,w51c,sb v pyramidR,380.0
Sj,9-18,f,75.0,101.0,0.0,9/9/2018,13.3,w25c.t,R at pool,388.0
Sj,5-14-17,f,86.0,86.0,-1.0,8/16/2018,16.5,w18c,pool left side 2m up,388.0
Sj,10-14-17,m,88.0,98.0,-1.0,8/16/2018,21.3,w19c,pool left side 2m up,388.0
Sj,9-13,f,46.0,65.0,0.0,8/16/2018,3.1,w20c,pool left side 4m up,388.0
Sj,10-12-18,f,78.0,90.0,-1.0,8/17/2018,14.0,w24c,2m upstream pool on rt wall,390.0
Sj,4-12,f,57.0,80.0,0.0,9/15/2018,5.4,w71c,rt side on 2falls,395.0
Sj,5-16,m,58.0,81.0,0.0,9/9/2018,6.8,w66c,sb 4m v pineR on left side,401.0
Sj,9-15,f,54.0,62.0,-1.0,8/16/2018,3.2,w21c,opp pine R,410.0
Sj,9-15,f,55.0,63.0,-1.0,8/25/2018,5.0,w21c,sb at pineR,410.0
Sj,8-13,f,44.0,62.0,0.0,8/18/2018,2.9,w32c,on Rs left side sb 2m v 1oakR,418.0
Sj,8-15,f,55.0,76.0,-1.0,8/18/2018,5.3,w33c,left Rs 5m ^ 1oakR,425.0
Sj,8-15,f,60.0,83.0,0.0,9/15/2018,7.2,w33c,R left sb 3m v blackR ^1oakR,427.0
Sj,5-13,m,51.0,71.0,0.0,9/8/2018,4.8,w64c,left sb ^ blackR ^ 1oakR,430.0
Sj,8-13,f,55.0,74.0,0.0,9/16/2018,4.8,w32c,R sb at brownR ^blackR ^ 1oakR,435.0
Sj,9-19,f,53.0,72.0,0.0,9/12/2018,4.5,w26c,R sb 3m v top site,452.0
Sj,7-20,f,46.0,63.0,0.0,8/27/2018,3.2,w52c,rt sb at top,455.0
Sj,9-19,f,48.0,64.0,-1.0,8/17/2018,3.2,w26c,sb top of site,455.0
Sj,5-15,m,57.0,80.0,0.0,9/9/2018,6.0,w65c,sb top site,455.0
